Page,0,1,2,3,4,5,6,7,8,9,10,11,12
25,,,"화법과
언어와
작문
매체","확률과	
미적분
기하
통계","사회
과학",,,,,,,,
25,"교육학과, 한문교육과",A,40,30,20,10,"감점
적용",,,,,,
25,,B,30,40,20,10,,,,,,,
25,"수학교육과, 컴퓨터교육과",A,20,40,30,10,,,,,,,
25,,B,30,40,20,10,,,,,,,
25,구분,평가	항목,평가	내용,,,,,,,,,,
25,교과영역,교과학습 발달상황,"교과 (목)별 위계에 따른 이수현황 및 이수 내용, 전과목 학업성취도 및 학업우수성, 
학년/학기별 학업 충실성 등",,,,,,,,,,
25,비교과영역,"출결상황
행동특성 및 종합의견","학업생활 성실성 및 규칙 준수, 공동체 의식, 협업 및 소통능력 등",,,,,,,,,,
26,전형요소	및	반영비율	(%),"•  미술학과 / 디자인학과 : 대학수학능력시험 60 + 실기시험 40
•  스포츠과학과 : 대학수학능력시험 80 + 실기시험 20",,,,,,,,,,,
26,전형총점,"1,000",,,,,,,,,,,
26,수능	최저학력기준,없음,,,,,,,,,,,
26,선발방법,"별도의 단계별 선발 없이 지원자 전원 실기시험을 실시한 후, 실기시험 응시자 중에서 실기시험 평가
점수와 수능 반영 방법에 따른 평가점수의 합산 총점 순으로 최종 합격자 선발",,,,,,,,,,,
26,동점자	처리기준,"① 실기시험 점수가 우수한 자
② 대학수학능력시험의 국어영역 표준점수가 우수한 자
③ 대학수학능력시험의 영어영역 등급이 우수한 자
④ 대학수학능력시험의 한국사 등급이 우수한 자
⑤ 학생부 석차등급 평균이 우수한 자 (학생부 없는 자는 비교내신 적용)",,,,,,,,,,,
27,시험장	발표,"2026. 1. 2. (금), 성균관대학교 입학처 홈페이지 (https://admission.skku.edu)",,,,,,,,,,,
27,시험일,미술학과：2026. 1. 6. (화) / 디자인학과：2026. 1. 7. (수),,,,,,,,,,,
27,모집단위,선발분야,실기과목,,재료	및	도구,시간,배점,,,,,,
27,미술학과,"동양화 /
서양화",인물화,,"•  화선지 (2/3절), 켄트지 (2절) 중 택일
•  연필, 수채화물감, 먹, 동양화 채색물감 중 자유 선택 
 
- 동·서양화 화지 및 재료 구분 없음",4시간,400,,,,,,
27,디자인학과,디자인학과,"기초실기
소양평가",정밀소묘,"•  켄트지 (4절)
•  연필",5시간,400,,,,,,
27,,,,"사고의  
이미지화","•  켄트지 (4절)
•  채색재료 자유 선택",,,,,,,,
27,비	고,"➀   실기도구 중 이젤, 화판, 켄트지, 화선지는 우리대학에서 제공하며, 이외의 실기도구는 개인이 지참해야 함 
 
(수묵담채 선택자는 필요시 개별 화판을 준비해야 함)
➁   동양화, 서양화 공통으로 이젤 사용 (탁자 사용 불가) 
➂ 미술학과는 인물이 포함된 인쇄물이 주어질 수 있음
➃   디자인학과는 ‘실물 또는 인쇄물＋주제어 또는 문장 등’이 주어질 수 있으며, 수험생은 주어진 시간 (5시간) 동안 4절지 
2매에 각각의 그림을 표현한 후 제출해야 함 (각각의 시간 안배는 수험생 자유)
➄   운영 상황에 따라 시험 시간은 변동될 수 있음 (변동 시 별도 안내)
➅ 실기시험의 배점은 400점이며, 최고점은 400점, 최저점은 0점임",,,,,,,,,,,
27,시험장	발표,"2026. 1. 2. (금), 성균관대학교 입학처 홈페이지 (https://admission.skku.edu)",,,,,,,,,,,
27,시험일,2026. 1. 9. (금),,,,,,,,,,,
27,실기시험,실기종목,배점,,,,,,,,,,
